module,version,method,model,evaluation_set_id,created_at_utc,metrics_path,metrics_sha256,manifest_path,manifest_sha256,config_paths,parameters_json,core_attribute_hit_rate,fluency_pass_rate,factual_error_sample_rate,average_factual_errors_per_sample,category_style_pass_rate,structured_output_success_rate,precision_at_10,pooled_recall_at_10,mrr_at_10,ndcg_at_10,average_latency_seconds,comparison_baseline_version,comparison_status,delta_core_attribute_hit_rate,delta_fluency_pass_rate,factual_error_rate_reduction,delta_structured_output_success_rate,delta_precision_at_10,delta_pooled_recall_at_10,delta_mrr_at_10,delta_ndcg_at_10,delta_average_latency_seconds,notes
generation,generation_baseline_v1,baseline,Qwen/Qwen2.5-7B-Instruct,generation:ce057356a9a0c48e4298daac545fafb0c83ad07ae2f74f1b1211c834b048a557,2026-09-09T13:21:33+00:00,reports/generation/evaluation/baseline_metrics.json,2743bce6f37878ce1aba1149394ca865f957e302d609e81bd9dbbc8caaf35f2f,reports/generation/evaluation/annotation_manifest.json,9fad8a0ec4f6915c3bf1c3065b6cf9ed57e86849ae3781364ef3a3f911789433,configs/generation.json | configs/generation_evaluation.json,"{""configs/generation.json"":{""bnb_4bit_compute_dtype"":""bfloat16"",""bnb_4bit_quant_type"":""nf4"",""cache_dir"":""../.model-cache/huggingface/hub"",""device"":""cuda"",""do_sample"":false,""load_in_4bit"":true,""max_input_tokens"":2048,""max_new_tokens"":320,""model_name"":""Qwen/Qwen2.5-7B-Instruct"",""prompt_version"":""baseline_v1"",""seed"":42,""temperature"":0.7,""top_p"":0.9},""configs/generation_evaluation.json"":{""annotation_path"":""reports/generation/evaluation/annotation_pool.csv"",""category_quotas"":{""保温杯"":13,""垃圾桶"":12,""拖把"":12,""收纳箱"":13,""移动电源"":12,""耳机"":13,""键盘"":13,""鼠标"":12},""core_attributes"":{""保温杯"":[""品牌"",""型号"",""材质"",""容量"",""保温时长"",""杯子样式"",""适用人群"",""适用场景""],""垃圾桶"":[""品牌"",""外壳材质"",""形状"",""容量"",""垃圾桶类型"",""开合方式"",""适用场景""],""拖把"":[""品牌"",""型号"",""杆材质"",""拖布材质"",""拖把杆类型"",""挤水方式"",""驱动类型"",""电源方式""],""收纳箱"":[""品牌"",""型号"",""材质"",""尺寸"",""适用对象"",""适用空间"",""净重""],""移动电源"":[""品牌"",""型号"",""电池容量"",""电池类型"",""电芯类型"",""外壳材质"",""充电协议"",""最大输出功率""],""耳机"":[""品牌"",""型号"",""佩戴方式"",""耳机类别"",""耳机与播放设备连接方式"",""蓝牙版本"",""功能""],""键盘"":[""品牌"",""型号"",""接口类型"",""是否无线"",""是否机械键盘"",""是否有多媒体功能键"",""有无手托""],""鼠标"":[""品牌"",""型号"",""接口类型"",""工作方式"",""光学分辨率"",""按键数"",""无线技术"",""电源方式""]},""dataset_path"":""data/processed/week1_v3/multimodal/test.jsonl"",""excluded_attribute_values"":[""其他"",""其它"",""OTHER"",""other"",""未知"",""不详"",""默认""],""excluded_values_by_attribute"":{""型号"":[""耳机"",""键盘"",""鼠标"",""移动电源"",""保温杯"",""收纳箱"",""拖把"",""垃圾桶""]},""manifest_path"":""reports/generation/evaluation/annotation_manifest.json"",""metrics_path"":""reports/generation/evaluation/baseline_metrics.json"",""minimum_core_attribute_count"":4,""outputs_path"":""reports/generation/baseline/evaluation_outputs.json"",""random_seed"":42,""samples_path"":""data/processed/week1_v3/generation_evaluation_samples.jsonl"",""targets"":{""average_generation_seconds"":12.0,""core_attribute_hit_rate"":0.75,""fluency_pass_rate"":0.8}}}",0.880000,0.990000,0.560000,1.050000,1.000000,0.960000,,,,,6.443370,,baseline,,,,,,,,,,Qwen2.5-7B-Instruct Week 1 文案生成基线
retrieval,week1_v3_validation_pool_v1,baseline,PaddlePaddle/ernie_vil-2.0-base-zh,retrieval:ec726239ffce9ea8666ae1138d5009f3f1dda2954c728455bc2fc68ee3aae6ad:validation:200,2026-09-08T15:02:29+00:00,reports/retrieval/evaluation/baseline_metrics.json,0ba7e0cc2e7fc2b30458f45c9ea4372dd28e68a3b7f7d2a9d38159141c4f9f67,reports/retrieval/evaluation/annotation_manifest.json,c4c5e0699fd521baf083dbb927a3e9e337b6b84d0c0af28c77031bc16f5cd2bd,configs/retrieval.json | configs/retrieval_evaluation.json,"{""configs/retrieval.json"":{""batch_size"":8,""dataset_path"":""data/processed/week1_v3/multimodal/products.jsonl"",""default_top_k"":5,""device"":""gpu:0"",""features_path"":""artifacts/features/ernie_vil_week1_v3.npy"",""index_path"":""artifacts/indexes/ernie_vil_week1_v3.faiss"",""metadata_path"":""artifacts/indexes/ernie_vil_week1_v3_metadata.jsonl"",""model_name"":""PaddlePaddle/ernie_vil-2.0-base-zh"",""report_path"":""reports/retrieval/baseline/index_build.json""},""configs/retrieval_evaluation.json"":{""annotation_path"":""reports/retrieval/evaluation/annotation_pool.csv"",""gallery_split"":""validation"",""manifest_path"":""reports/retrieval/evaluation/annotation_manifest.json"",""metric_cutoff"":10,""metrics_path"":""reports/retrieval/evaluation/baseline_metrics.json"",""pool_depth"":20,""positive_grade_threshold"":1,""prd_targets"":{""precision_at_10"":0.55,""recall_at_10"":0.65},""queries_path"":""configs/retrieval_evaluation_queries.jsonl"",""retrieval_config"":""configs/retrieval.json"",""version"":""week1_v3_validation_pool_v1""}}",,,,,,,0.495833,0.670784,0.736971,0.635278,0.014173,,baseline,,,,,,,,,,ERNIE-ViL 2.0 Week 1 多模态检索基线；Recall 为 Top-20 候选池口径
generation,generation_sampling_prompt_v2,sampling_prompt_v2,Qwen/Qwen2.5-7B-Instruct,generation:ce057356a9a0c48e4298daac545fafb0c83ad07ae2f74f1b1211c834b048a557,2026-09-17T06:02:02+00:00,reports/generation/evaluation/baseline_metrics_sampling_v2.json,308ed68e74cf6e31fa2e4ba1fa091b9abdacb65bf4e8cc4a31b360c5629edd22,reports/generation/evaluation/annotation_manifest.json,9fad8a0ec4f6915c3bf1c3065b6cf9ed57e86849ae3781364ef3a3f911789433,configs/generation.json | configs/generation_evaluation_sampling_v2.json,"{""configs/generation.json"":{""bnb_4bit_compute_dtype"":""bfloat16"",""bnb_4bit_quant_type"":""nf4"",""cache_dir"":""../.model-cache/huggingface/hub"",""device"":""cuda"",""do_sample"":true,""load_in_4bit"":true,""max_input_tokens"":2048,""max_new_tokens"":320,""model_name"":""Qwen/Qwen2.5-7B-Instruct"",""prompt_version"":""baseline_v2"",""seed"":42,""temperature"":0.7,""top_p"":0.9},""configs/generation_evaluation_sampling_v2.json"":{""annotation_path"":""reports/generation/evaluation/annotation_pool_sampling_v2.csv"",""metrics_path"":""reports/generation/evaluation/baseline_metrics_sampling_v2.json"",""outputs_path"":""reports/generation/baseline/evaluation_outputs_sampling_v2.json"",""targets"":{""average_generation_seconds"":12.0,""core_attribute_hit_rate"":0.75,""fluency_pass_rate"":0.8},""version"":""generation_sampling_prompt_v2""}}",0.881600,0.980000,0.730000,1.330000,1.000000,0.990000,,,,,6.429810,generation_baseline_v1,compared,0.001600,-0.010000,-0.170000,0.030000,,,,,-0.013560,同一批100条测试商品；同时更改采样解码和提示词，不能归因于单一变量
